Time,TrialID,GazePosX,GazePosY,PupilDilation,TrialImage,TrialCategory
376588,1,431.3,597.7,4773.85,Rest1,Rest
376628,1,429.8,602.3,4726.3,Rest1,Rest
376668,1,429.4,610.9,4686.15,Rest1,Rest
376708,1,430.2,610.7,4668.65,Rest1,Rest
376748,1,431.3,618.0,4641.2,Rest1,Rest
376788,1,432.6,620.7,4637.25,Rest1,Rest
376828,1,431.0,622.3,4628.3,Rest1,Rest
376868,1,508.4,668.9,4633.0,Rest1,Rest
376908,1,645.3,756.9,4601.1,Rest1,Rest
376948,1,648.0,761.8,4609.9,Rest1,Rest
376988,1,648.4,760.6,4615.5,Rest1,Rest
377028,1,650.8,763.4,4619.15,Rest1,Rest
377068,1,654.3,767.5,4637.55,Rest1,Rest
377108,1,660.5,792.7,4636.05,Rest1,Rest
377148,1,659.0,791.2,4650.75,Rest1,Rest
377188,1,662.9,785.7,4664.7,Rest1,Rest
377228,1,661.0,782.9,4685.05,Rest1,Rest
377268,1,661.3,783.3,4712.45,Rest1,Rest
377308,1,660.0,780.3,4731.1,Rest1,Rest
377348,1,659.2,775.6,4762.9,Rest1,Rest
377388,1,657.7,774.6,4797.9,Rest1,Rest
377428,1,661.9,772.3,4825.05,Rest1,Rest
377468,1,660.1,770.3,4859.95,Rest1,Rest
377508,1,658.9,763.9,4873.75,Rest1,Rest
377548,1,649.1,762.5,4912.4,Rest1,Rest
377588,1,638.7,759.2,4938.25,Rest1,Rest
377628,1,636.7,757.4,4964.25,Rest1,Rest
377668,1,639.8,761.2,4982.85,Rest1,Rest
377708,1,638.1,754.4,4997.95,Rest1,Rest
377748,1,633.9,748.8,5023.5,Rest1,Rest
377788,1,634.6,743.3,5041.3,Rest1,Rest
377828,1,636.1,737.6,5087.65,Rest1,Rest
377868,1,636.7,735.6,5116.25,Rest1,Rest
377908,1,634.1,730.9,5126.25,Rest1,Rest
377948,1,631.7,724.7,5176.25,Rest1,Rest
377988,1,631.3,716.4,5202.75,Rest1,Rest
378028,1,630.4,717.3,5234.6,Rest1,Rest
378068,1,629.4,720.0,5245.6,Rest1,Rest
378108,1,629.0,716.3,5269.2,Rest1,Rest
378148,1,629.1,716.4,5299.45,Rest1,Rest
378188,1,630.3,719.2,5304.15,Rest1,Rest
378228,1,630.6,720.5,5308.95,Rest1,Rest
378268,1,628.4,715.9,5343.75,Rest1,Rest
378308,1,626.5,719.8,5347.2,Rest1,Rest
378348,1,628.0,720.1,5356.7,Rest1,Rest
378388,1,635.9,722.4,5369.9,Rest1,Rest
378428,1,643.2,709.8,5376.15,Rest1,Rest
378468,1,643.6,710.8,5368.85,Rest1,Rest
378508,1,641.4,709.8,5379.05,Rest1,Rest
378548,1,640.3,707.3,5372.35,Rest1,Rest
378588,1,638.7,704.5,5383.95,Rest1,Rest
378628,1,633.7,704.9,5387.65,Rest1,Rest
378668,1,629.6,701.7,5390.75,Rest1,Rest
378708,1,630.3,698.1,5396.2,Rest1,Rest
378748,1,629.5,697.3,5410.5,Rest1,Rest
378788,1,630.1,699.4,5413.45,Rest1,Rest
378828,1,627.9,696.5,5433.1,Rest1,Rest
378868,1,629.6,697.0,5442.55,Rest1,Rest
378908,1,627.8,695.4,5449.75,Rest1,Rest
378948,1,628.0,692.9,5467.05,Rest1,Rest
378988,1,628.8,697.2,5472.35,Rest1,Rest
379028,1,624.9,699.0,5477.3,Rest1,Rest
379068,1,627.2,695.6,5482.25,Rest1,Rest
379108,1,624.5,697.5,5477.45,Rest1,Rest
